7725,928634

3946,342472

24676,5242662

29647,6895570

2356,159658

29190,6737420

13503,2132858

19574,3710376

8026,982990

27525,6171660

16300,2823904

17328,3093588

30444,7174296

7506,889776

12287,1853048

21458,4255748

19578,3711504

3854,330696

30430,7169368

20790,4059538

27527,6172328

17530,3147534

5659,584746

20283,3912728

3972,345808

27288,6092502

10433,1452368

22158,4464558

20736,4043770

24589,5215114

23020,4726280

20648,4018248

29465,6832470

7370,865890

15838,2705362

19608,3719982

9526,1268462

15595,2643698

16720,2933098

259,6374

3320,265154

13023,2020844

8966,1159080

12137,1819448

11373,1651508

25802,5603858

11174,1608646

19625,3724810

30855,7319430

14631,2403774

6090,652088

4808,459094

13261,2076134

22194,4475358

26708,5900188

24558,5205318

24913,5318028

7045,809718

3330,266334

1713,99768

25570,5528748

3969,345418

7490,886960

29590,6875734

7554,898224

21999,4416858

4935,477200

19413,3664974

8987,1163112

25191,5406888

15708,2672342

26973,5987794

22637,4609408

29937,6996508

22904,4690784

22552,4583568

2123,136888

8555,1080914

3859,331336

14448,2359122

19719,3751506

26155,5718700

15161,2534758

11026,1576974

23851,4983220

5605,576468

17117,3037548

10738,1516068

4201,375790

6350,693908

24431,5165186

29327,6784722

12501,1901346

18689,3462934

6577,731072

25976,5660346

27730,6240480

28194,6396996

26310,5769364

32527,7919738

31306,7479746

8649,1098588

31089,7402494

1197,58892

23821,4973860

5029,490736

26342,5779860

9591,1281332

10355,1436240

27750,6247200

24326,5132024

7211,838250

29793,6946378

4290,387670

4292,387938

1213,60044

12938,2001238

6894,784048

8080,992818

24236,5103764

26367,5788060

14083,2270848

7724,928456

27783,6258288

6566,729246

7846,950378

11195,1613140

11440,1665980

31721,7628348

30696,7263144

26395,5797244

20320,3923384

5803,606978

7019,805298

11380,1653020

19947,3816392

5248,522818

1479,80368

20753,4048734

1861,112718

31773,7647068

30763,7286862

20847,4076182

1477,80208

28429,6476838

3144,244594

9620,1287108

21034,4130806

16550,2888738

16234,2806876

12194,1832216

30684,7258896

31036,7383626

14568,2388402

30892,7332528

7796,941378

6548,726282

20415,3950744

12232,1840728

23677,4929008

12955,2005148

4986,484544

8038,985174

10108,1385542

9560,1275194

23637,4916608

3296,262322

1327,68522

7968,972434

9889,1341086

13906,2228402

25107,5380008

9737,1310508

15722,2675898

25259,5428648

12584,1920186

18849,3507256

30808,7302792

14340,2332888

14584,2392306

19423,3667794

4307,389948

19505,3690918

12758,1959858

22105,4448658

21098,4149622

9110,1186900

6500,718410

4024,352568

10870,1543898

4668,439398

24408,5157918

9577,1278560

23290,4809274

13093,2037084

20351,3932312

7574,901756

21710,4330544

27100,6029958

23810,4970428

1365,71410

31997,7727708

12329,1862474

20383,3941528

12414,16

4930,16

2,22

2,22

3,28

3,28

3,28

3,28

